month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202106,16602,"altoona, pa",,132400,0.06,0.2374,29,0.1154,-0.4314,20.5,-0.267857143,-0.369230769,24,0,-0.1429,0,,,12,0.5,0,1,0,-0.5,50.7814304,-0.0165,,1316,0.316,,142400.8065,-0.004,0.1792,30,0.1111,-0.434,0.034482759,-0.004,-0.0047
202106,23310,"cape charles, va",*,677450,0.1502,,33,-0.0833,-0.34,72,0.014084507,-0.221621622,8,-0.5,-0.6,0,,,4,,0,16,-0.1579,0.0667,282.6072885,0.186,0.5649,2233,-0.0848,0.0367,703227.504,0.1632,0.2494,49,-0.1091,-0.2462,0.484848485,-0.0429,0.1848
202106,91352,"sun valley, ca",,724000,-0.0777,0.1138,21,-0.125,-0.2759,36.5,-0.039473684,-0.401639344,16,-0.2,0,4,,,4,,,41,-0.0465,0.5185,520.696136,0.0889,0.086,1296.5,-0.2549,-0.0578,818321.0787,-0.1379,0.184,62,-0.0746,0.1071,1.952380952,0.1607,1.0213
202106,30064,"marietta, ga",,427500,0.0301,-0.016,148,0.1935,-0.4932,30,-0.032258065,-0.333333333,180,0.0227,-0.0426,16,1,0.3333,36,0.5,-0.4375,251,-0.1036,-0.0669,160.2308693,0.0127,0.192,2186.5,-0.0751,-0.1425,514385.7924,0.0668,0.0651,399,-0.0124,-0.2888,1.695945946,-0.5621,0.7747
202106,80634,"greeley, co",*,392500,0.0608,,55,0.375,,18,-0.181818182,,116,0.3182,-0.275,4,0,,16,3,-0.7647,235,0.1692,0.0086,158.7889498,-0.0342,0.1492,2529.5,0.0237,-0.0417,603178.2446,-0.017,0.5933,290,0.2033,-0.2732,4.272727273,-0.7523,2.8691
202106,93010,"camarillo, ca",,856997.5,-0.0467,0.1001,40,-0.0909,-0.4444,39,0.083333333,-0.32173913,40,-0.1667,0.1111,0,,,8,0,-0.6667,113,0.0762,0.4125,417.4164524,-0.0041,0.1323,2134.5,-0.0433,-0.0366,1402741.922,-0.0101,0.2651,153,0.0268,0.0066,2.825,0.4386,1.7139
202106,61604,"peoria, il",*,77900,0.1144,,78,0.1304,,31,-0.184210526,,72,0.2857,0.5,0,,,32,0,-0.2727,86,-0.1042,0.2836,62.15291751,0.0957,0.0958,1280,0.0364,-0.1281,85294.82605,0.1144,-0.0037,164,-0.0061,-0.2442,1.102564103,-0.2887,0.6559
202106,33140,"miami beach, fl",*,597500,0.0042,,542,-0.0982,,107.5,-0.013761468,,116,-0.0645,-0.1212,32,-0.1111,1.6667,56,0.1667,-0.5,242,-0.0397,1.881,597.5494186,-0.0041,0.1364,1110.5,0.0207,-0.1187,2014701.773,0.0915,0.0331,784,-0.0809,-0.2113,0.446494465,0.0272,0.3542
202106,27203,"asheboro, nc",,177950,0.053,0.1444,20,0.4286,-0.2308,33,0.5,-0.164556962,20,0,0.6667,0,,,8,,0,58,-0.1077,4.2727,0,,,0,,,184763.4423,0.1039,0.3468,78,-0.0127,1.1081,2.9,-1.7429,2.4769
202106,70611,"lake charles, la",*,299900,0.0512,,61,0.9063,,18.5,-0.62244898,,24,-0.1429,-0.4,0,,,8,0,-0.7143,170,0.7708,1.3944,143.7289916,0.044,0.1217,2298,0.0384,0.1104,416357.6573,0.077,0.3742,231,0.8047,0.375,2.786885246,-0.2131,2.0549
202106,27925,"columbia, nc",,229000,-0.0803,0.1807,18,0.5,0.0588,63.5,0.154545455,-0.435555556,0,-1,,0,,,4,,0,6,-0.1429,2,97.77611403,-0.0921,0.0864,1232,-0.2183,-0.4139,229846.4348,-0.1716,0.0512,24,0.2632,0.2632,0.333333333,-0.25,0.2157
202106,99507,"anchorage, ak",*,319000,-0.059,,47,0.0682,,15.5,-0.03125,,40,-0.2308,-0.5,0,-1,,24,0.5,-0.4,0,,,208.3919619,0.0189,0.0841,1535.5,-0.075,-0.118,382031.3619,-0.0564,-0.0868,47,0.0682,-0.53,0,0,0
202106,78578,"port isabel, tx",*,277000,0.0863,,39,-0.025,,67,0.634146341,,24,0,-0.25,0,,,0,,-1,58,0.0943,0.2609,177.1961435,0.0157,0.1164,1495,0,-0.1128,390813.0529,0.0382,0.1445,97,0.043,-0.4611,1.487179487,0.1622,1.1439
202106,1876,"tewksbury, ma",,572450,0.1451,0.1462,20,0.3333,-0.2857,3,0.5,-0.846153846,52,0.625,0,0,,,0,-1,-1,12,0.2,-0.1429,298.769452,0.0512,0.1062,1948,0.0231,0.0296,594361.1773,0.1682,0.2207,32,0.28,-0.2381,0.6,-0.0667,0.1
202106,46074,"westfield, in",*,449450,0.0215,,53,0.359,,38,-0.095238095,,76,0.9,-0.3448,8,0,-0.6667,12,0,-0.8421,191,0.0214,-0.1075,154.6979854,-0.0073,0.0921,3219,0.1335,0.0693,565425.9658,-0.0118,0.226,244,0.0796,-0.4092,3.603773585,-1.1911,2.5284
202106,8823,"franklin park, nj",*,272500,-0.0091,-0.018,24,0.0435,,19,0.727272727,-0.136363636,24,-0.1429,0.5,0,,,0,,,34,0.8889,3.8571,0,,-1,0,,-1,295840.1774,-0.0398,-0.1246,58,0.4146,0.6111,1.416666667,0.6341,1.1753
202106,63020,"de soto, mo",*,172500,-0.0671,,31,0.1481,0.1923,34.5,-0.092105263,,20,0,0.25,0,,,8,-0.3333,0,61,0,0.0893,112.4403513,-0.0586,0.2486,1460,0,0.1505,193081.1251,-0.0875,0.1494,92,0.0455,0.122,1.967741935,-0.2915,-0.1861
202106,55812,"duluth, mn",,429950,-0.1384,-0.2456,17,0.5455,-0.2609,40,-0.646017699,-0.493670886,12,0,2,0,,,4,,0,16,-0.3043,0.2308,152.5602619,-0.0192,-0.0178,2772,-0.2572,0.1017,514721.4737,-0.1765,-0.1531,33,-0.0294,-0.0833,0.941176471,-1.1497,0.376
202106,33976,"lehigh acres, fl",*,287500,0.1275,,33,0.1379,-0.3265,48,-0.304347826,-0.272727273,24,-0.1429,0,4,0,,4,,-0.6667,124,-0.0746,0.6316,174.4432662,0.0453,0.2991,1616.5,0.0179,-0.0179,280487.0657,0.1034,0.2601,157,-0.0368,0.256,3.757575758,-0.8631,2.2066
202106,12561,"new paltz, ny",,475000,-0.1665,0.081,72,0.0746,-0.3208,72.5,-0.058441558,-0.064516129,20,-0.375,-0.5455,0,,,12,-0.25,2,65,0.1207,0.2745,220.0490637,-0.0072,0.098,2398.5,-0.0414,0.0165,567542.5951,-0.0587,-0.0306,137,0.096,-0.1274,0.902777778,0.0371,0.4216
202106,44709,"canton, oh",*,144450,-0.0364,,16,0.1429,-0.5429,26,-0.212121212,-0.315789474,20,-0.1667,0,0,,,4,,-0.5,53,0.06,0.0816,98.24708878,0.0933,0.2019,1518,-0.0964,-0.3191,179873.4893,-0.0743,-0.2629,69,0.0781,-0.1786,3.3125,-0.2589,1.9125
202106,32773,"sanford, fl",,272500,-0.0763,0.2004,29,-0.2162,-0.6184,42.5,0.08974359,-0.132653061,32,0,-0.1111,4,0,-0.6667,8,0,-0.7143,72,-0.0526,-0.2088,178.0514114,0.0267,0.1701,1530.5,-0.0741,0.002,302102.0174,0.0414,0.209,101,-0.1062,-0.3952,2.482758621,0.4287,1.2854
202106,94022,"los altos, ca",,3791500,-0.0022,-0.0276,37,0,0.0278,37.5,-0.166666667,0.02739726,36,0.8,0.5,0,,,8,-0.3333,-0.3333,27,0.0385,0.4211,1384.551582,0.0053,0.0265,2880.5,0.0186,-0.0067,5786557.72,-0.0518,0.0421,64,0.0159,0.1636,0.72972973,0.027,0.202
202106,94566,"pleasanton, ca",,1493500,-0.0037,0.1953,33,0.0313,-0.5976,32.5,0.160714286,0,64,0,-0.0588,0,,,0,-1,-1,66,-0.1852,-0.0704,672.9591717,0.0114,0.2089,2206,-0.0413,-0.0038,1829738.998,-0.0802,0.2314,99,-0.1239,-0.3529,2,-0.5313,1.1341
202106,79423,"lubbock, tx",*,379400,-0.0383,,73,0.1406,-0.471,29,0,,60,0.25,-0.1667,0,,,20,0.6667,-0.5,142,0,0.0071,149.9874949,-0.0011,0.1528,2443,-0.0251,0.1413,437638.7273,-0.0109,0.2967,215,0.0437,-0.2294,1.945205479,-0.2735,0.9235
202106,75104,"cedar hill, tx",,347500,0.121,-0.0128,30,0.1111,-0.5385,31.5,0.3125,-0.336842105,48,0.0909,0.0909,0,,,4,0,-0.75,77,-0.0375,-0.125,146.8272668,0.0234,0.2057,2563.5,0.1064,-0.0697,704588.5843,-0.041,0.2496,107,0,-0.3007,2.566666667,-0.3963,1.2128
202106,11792,"wading river, ny",,559499.5,-0.0675,0.0559,35,0.0606,-0.3966,36,0.333333333,-0.470588235,20,0.25,-0.1667,0,,,4,0,-0.75,25,0.3889,0.1905,0,,-1,0,,-1,614728.7162,-0.0592,-0.0408,60,0.1765,-0.2405,0.714285714,0.1688,0.3522
202106,33449,"lake worth, fl",*,1274888,0.5362,,45,-0.1509,,86.5,0.108974359,,16,-0.2,-0.3333,0,,-1,4,0,-0.8571,44,-0.1538,-0.1698,280.1732679,0.1393,0.6623,2813,0.0046,0.0133,3743470.261,0.1276,2.1365,89,-0.1524,-0.4885,0.977777778,-0.0034,0.5398
